timepoint,n_pairs,mean_diff_osk_minus_control,t_stat,p_value
no vincristine damage,3,0.12855333158784177,2.01357363435423,0.18166875167718388
1d vincristine damage,3,-0.042600996445423554,-1.0533669576791425,0.4026502476507641
9d post vincristine damage,3,0.031315460217140156,1.7969403961576533,0.21417730465479462
